<<<<<<< HEAD
"x","var","prob","method","psd","cat"
0,"x1",0,"SVM-pol",0,"start"
0,"x1",0,"SVM-rad",0,"start"
0,"x2",0,"SVM-pol",0,"start"
0,"x2",0,"SVM-rad",0,"start"
0.102040816326531,"x1",0,"SVM-pol",0,"start"
0.102040816326531,"x1",0.1515,"SVM-rad",0.00801709891419583,"start"
0.102040816326531,"x2",0,"SVM-pol",0,"start"
0.102040816326531,"x2",0,"SVM-rad",0,"start"
0.204081632653061,"x1",0.385,"SVM-pol",0.0108806020054039,"start"
0.204081632653061,"x1",0.623,"SVM-rad",0.0108367661227877,"start"
0.204081632653061,"x2",0,"SVM-pol",0,"start"
0.204081632653061,"x2",0,"SVM-rad",0,"start"
0.306122448979592,"x1",0.5685,"SVM-pol",0.0110749209929462,"start"
0.306122448979592,"x1",0.696,"SVM-rad",0.0102855238077601,"start"
0.306122448979592,"x2",0,"SVM-pol",0,"start"
0.306122448979592,"x2",0,"SVM-rad",0,"start"
0.408163265306122,"x1",0.6675,"SVM-pol",0.0105343189148611,"start"
0.408163265306122,"x1",0.7235,"SVM-rad",0.0100011936787566,"start"
0.408163265306122,"x2",0,"SVM-pol",0,"start"
0.408163265306122,"x2",0,"SVM-rad",0,"start"
0.510204081632653,"x1",0.72,"SVM-pol",0.0100399203184089,"start"
0.510204081632653,"x1",0.7325,"SVM-rad",0.00989807430766207,"start"
0.510204081632653,"x2",0,"SVM-pol",0,"start"
0.510204081632653,"x2",0,"SVM-rad",0,"start"
0.612244897959184,"x1",0.742,"SVM-pol",0.00978355763513457,"start"
0.612244897959184,"x1",0.741,"SVM-rad",0.00979589199613797,"start"
0.612244897959184,"x2",0,"SVM-pol",0,"start"
0.612244897959184,"x2",0,"SVM-rad",0,"start"
0.714285714285714,"x1",0.766,"SVM-pol",0.00946688966873492,"start"
0.714285714285714,"x1",0.751,"SVM-rad",0.00966951394848779,"start"
0.714285714285714,"x2",0.141,"SVM-pol",0.0077819984579798,"start"
0.714285714285714,"x2",0,"SVM-rad",0,"start"
0.816326530612245,"x1",0.7945,"SVM-pol",0.00903520198999447,"start"
0.816326530612245,"x1",0.7945,"SVM-rad",0.00903520198999447,"start"
0.816326530612245,"x2",0.22,"SVM-pol",0.00926282894152753,"start"
0.816326530612245,"x2",0,"SVM-rad",0,"start"
0.918367346938776,"x1",0.802,"SVM-pol",0.00891055553823666,"start"
0.918367346938776,"x1",0.83,"SVM-rad",0.00839940474081348,"start"
0.918367346938776,"x2",0.268,"SVM-pol",0.0099039386104721,"start"
0.918367346938776,"x2",0.3675,"SVM-rad",0.010780624981883,"start"
1.02040816326531,"x1",0.822,"SVM-pol",0.00855324499824482,"start"
1.02040816326531,"x1",0.835,"SVM-rad",0.00829984939622401,"start"
1.02040816326531,"x2",0.2975,"SVM-pol",0.0102223713002414,"start"
1.02040816326531,"x2",0.5135,"SVM-rad",0.0111762639106277,"start"
1.12244897959184,"x1",0.818,"SVM-pol",0.00862774593969943,"start"
1.12244897959184,"x1",0.825,"SVM-rad",0.00849632273398322,"start"
1.12244897959184,"x2",0.3375,"SVM-pol",0.0105734041349038,"start"
1.12244897959184,"x2",0.5365,"SVM-rad",0.0111505100780189,"start"
1.22448979591837,"x1",0.8315,"SVM-pol",0.00836981929315084,"start"
1.22448979591837,"x1",0.831,"SVM-rad",0.00837970763213133,"start"
1.22448979591837,"x2",0.342,"SVM-pol",0.0106074502119972,"start"
1.22448979591837,"x2",0.5255,"SVM-rad",0.0111657903885036,"start"
1.3265306122449,"x1",0.8415,"SVM-pol",0.00816632567315313,"start"
1.3265306122449,"x1",0.827,"SVM-rad",0.00845786616115436,"start"
1.3265306122449,"x2",0.359,"SVM-pol",0.010726579137824,"start"
1.3265306122449,"x2",0.52,"SVM-rad",0.0111713920350152,"start"
1.42857142857143,"x1",0.8505,"SVM-pol",0.00797338541649656,"start"
1.42857142857143,"x1",0.827,"SVM-rad",0.00845786616115436,"start"
1.42857142857143,"x2",0.378,"SVM-pol",0.0108424167047757,"start"
1.42857142857143,"x2",0.518,"SVM-rad",0.0111730926783948,"start"
1.53061224489796,"x1",0.8295,"SVM-pol",0.00840921369689224,"start"
1.53061224489796,"x1",0.814,"SVM-rad",0.00870068962783985,"start"
1.53061224489796,"x2",0.396,"SVM-pol",0.0109358127269993,"start"
1.53061224489796,"x2",0.518,"SVM-rad",0.0111730926783948,"start"
1.63265306122449,"x1",0.835,"SVM-pol",0.00829984939622401,"start"
1.63265306122449,"x1",0.819,"SVM-rad",0.00860926826158879,"start"
1.63265306122449,"x2",0.3975,"SVM-pol",0.0109428915282936,"start"
1.63265306122449,"x2",0.4905,"SVM-rad",0.0111783216539872,"start"
1.73469387755102,"x1",0.8155,"SVM-pol",0.00867351572316555,"start"
1.73469387755102,"x1",0.802,"SVM-rad",0.00891055553823666,"start"
1.73469387755102,"x2",0.4175,"SVM-pol",0.0110270973061817,"start"
1.73469387755102,"x2",0.4995,"SVM-rad",0.0111803342973276,"start"
1.83673469387755,"x1",0.8015,"SVM-pol",0.00891901760285291,"start"
1.83673469387755,"x1",0.81,"SVM-rad",0.00877211491032807,"start"
1.83673469387755,"x2",0.434,"SVM-pol",0.0110825087412553,"start"
1.83673469387755,"x2",0.481,"SVM-rad",0.0111722647659282,"start"
1.93877551020408,"x1",0.791,"SVM-pol",0.00909172700866012,"start"
1.93877551020408,"x1",0.815,"SVM-rad",0.0086825975376036,"start"
1.93877551020408,"x2",0.41,"SVM-pol",0.0109977270378929,"start"
1.93877551020408,"x2",0.444,"SVM-rad",0.011109995499549,"start"
2.04081632653061,"x1",0.785,"SVM-pol",0.00918626692405571,"start"
2.04081632653061,"x1",0.777,"SVM-rad",0.00930781929347578,"start"
2.04081632653061,"x2",0.4435,"SVM-pol",0.0111087296753499,"start"
2.04081632653061,"x2",0.456,"SVM-rad",0.0111369654753887,"start"
2.14285714285714,"x1",0.7465,"SVM-pol",0.00972722339622155,"start"
2.14285714285714,"x1",0.6885,"SVM-rad",0.0103553790370029,"start"
2.14285714285714,"x2",0.4285,"SVM-pol",0.0110654360510556,"start"
2.14285714285714,"x2",0.415,"SVM-rad",0.0110175995570723,"start"
2.24489795918367,"x1",0.6885,"SVM-pol",0.0103553790370029,"start"
2.24489795918367,"x1",0.553,"SVM-rad",0.0111173513032556,"start"
2.24489795918367,"x2",0.444,"SVM-pol",0.011109995499549,"start"
2.24489795918367,"x2",0.4135,"SVM-rad",0.0110117607583892,"start"
2.3469387755102,"x1",0.6175,"SVM-pol",0.0108672386096929,"start"
2.3469387755102,"x1",0.4675,"SVM-rad",0.0111566964196396,"start"
2.3469387755102,"x2",0.457,"SVM-pol",0.0111389182598671,"start"
2.3469387755102,"x2",0.414,"SVM-rad",0.0110137187180352,"start"
2.44897959183673,"x1",0.46,"SVM-pol",0.011144505372604,"start"
2.44897959183673,"x1",0.431,"SVM-rad",0.0110733689543878,"start"
2.44897959183673,"x2",0.457,"SVM-pol",0.0111389182598671,"start"
2.44897959183673,"x2",0.398,"SVM-rad",0.0109452272703677,"start"
2.55102040816327,"x1",0,"SVM-pol",0,"start"
2.55102040816327,"x1",0.3575,"SVM-rad",0.0107166634266454,"start"
2.55102040816327,"x2",0.4595,"SVM-pol",0.0111436024247099,"start"
2.55102040816327,"x2",0.384,"SVM-rad",0.0108752930994985,"start"
2.6530612244898,"x1",0,"SVM-pol",0,"start"
2.6530612244898,"x1",0.3345,"SVM-rad",0.0105501125586413,"start"
2.6530612244898,"x2",0.4705,"SVM-pol",0.0111608635418591,"start"
2.6530612244898,"x2",0.384,"SVM-rad",0.0108752930994985,"start"
2.75510204081633,"x1",0,"SVM-pol",0,"start"
2.75510204081633,"x1",0.2625,"SVM-rad",0.00983854028807119,"start"
2.75510204081633,"x2",0.4945,"SVM-pol",0.0111796634564731,"start"
2.75510204081633,"x2",0.395,"SVM-rad",0.0109310338028935,"start"
2.85714285714286,"x1",0,"SVM-pol",0,"start"
2.85714285714286,"x1",0.1585,"SVM-rad",0.00816632567315314,"start"
2.85714285714286,"x2",0.472,"SVM-pol",0.0111627953488362,"start"
2.85714285714286,"x2",0.3875,"SVM-rad",0.0108936621482401,"start"
2.95918367346939,"x1",0,"SVM-pol",0,"start"
2.95918367346939,"x1",0.159,"SVM-rad",0.00817676586432558,"start"
2.95918367346939,"x2",0.47,"SVM-pol",0.0111601971308754,"start"
2.95918367346939,"x2",0.3905,"SVM-rad",0.010908935557606,"start"
3.06122448979592,"x1",0,"SVM-pol",0,"start"
3.06122448979592,"x1",0.133,"SVM-rad",0.00759312188760328,"start"
3.06122448979592,"x2",0.4695,"SVM-pol",0.0111595194789023,"start"
3.06122448979592,"x2",0.4535,"SVM-rad",0.011131885509652,"start"
3.16326530612245,"x1",0,"SVM-pol",0,"start"
3.16326530612245,"x1",0.1125,"SVM-rad",0.00706554138053129,"start"
3.16326530612245,"x2",0.4595,"SVM-pol",0.0111436024247099,"start"
3.16326530612245,"x2",0.4955,"SVM-rad",0.0111798870745639,"start"
3.26530612244898,"x1",0.002,"SVM-pol",0.000998999499499374,"start"
3.26530612244898,"x1",0.094,"SVM-rad",0.00652548848746207,"start"
3.26530612244898,"x2",0.4625,"SVM-pol",0.0111488508376424,"start"
3.26530612244898,"x2",0.505,"SVM-rad",0.0111797808565284,"start"
3.36734693877551,"x1",5e-04,"SVM-pol",0.000499874984371093,"start"
3.36734693877551,"x1",0.0465,"SVM-rad",0.00470838348055891,"start"
3.36734693877551,"x2",0.4465,"SVM-pol",0.0111161537862698,"start"
3.36734693877551,"x2",0.5115,"SVM-rad",0.0111773822964055,"start"
3.46938775510204,"x1",0,"SVM-pol",0,"start"
3.46938775510204,"x1",0,"SVM-rad",0,"start"
3.46938775510204,"x2",0.4555,"SVM-pol",0.011135972117422,"start"
3.46938775510204,"x2",0.545,"SVM-rad",0.0111349674449457,"start"
3.57142857142857,"x1",0.001,"SVM-pol",0.000706753139363385,"start"
3.57142857142857,"x1",0,"SVM-rad",0,"start"
3.57142857142857,"x2",0.473,"SVM-pol",0.0111640270512033,"start"
3.57142857142857,"x2",0.5555,"SVM-rad",0.0111112499296884,"start"
3.6734693877551,"x1",0.003,"SVM-pol",0.00122290637417588,"start"
3.6734693877551,"x1",0,"SVM-rad",0,"start"
3.6734693877551,"x2",0.4805,"SVM-pol",0.0111718340034213,"start"
3.6734693877551,"x2",0.6045,"SVM-rad",0.0109334292424655,"start"
3.77551020408163,"x1",0.0015,"SVM-pol",0.000865375640979107,"start"
3.77551020408163,"x1",0,"SVM-rad",0,"start"
3.77551020408163,"x2",0.4645,"SVM-pol",0.0111521242371129,"start"
3.77551020408163,"x2",0.5835,"SVM-rad",0.011023333207338,"start"
3.87755102040816,"x1",0.0015,"SVM-pol",0.000865375640979107,"start"
3.87755102040816,"x1",0,"SVM-rad",0,"start"
3.87755102040816,"x2",0.487,"SVM-pol",0.0111765602937576,"start"
3.87755102040816,"x2",0.592,"SVM-rad",0.0109894494857568,"start"
3.97959183673469,"x1",5e-04,"SVM-pol",0.000499874984371093,"start"
3.97959183673469,"x1",0,"SVM-rad",0,"start"
3.97959183673469,"x2",0.4585,"SVM-pol",0.0111417626522916,"start"
3.97959183673469,"x2",0.5405,"SVM-rad",0.0111436024247099,"start"
4.08163265306122,"x1",0.001,"SVM-pol",0.000706753139363385,"start"
4.08163265306122,"x1",0,"SVM-rad",0,"start"
4.08163265306122,"x2",0.4705,"SVM-pol",0.0111608635418591,"start"
4.08163265306122,"x2",0.541,"SVM-rad",0.0111426881855323,"start"
4.18367346938776,"x1",0.002,"SVM-pol",0.000998999499499374,"start"
4.18367346938776,"x1",0,"SVM-rad",0,"start"
4.18367346938776,"x2",0.481,"SVM-pol",0.0111722647659282,"start"
4.18367346938776,"x2",0.5305,"SVM-rad",0.0111595194789023,"start"
4.28571428571429,"x1",0.001,"SVM-pol",0.000706753139363385,"start"
4.28571428571429,"x1",0,"SVM-rad",0,"start"
4.28571428571429,"x2",0.4665,"SVM-pol",0.0111552173891861,"start"
4.28571428571429,"x2",0.505,"SVM-rad",0.0111797808565284,"start"
4.38775510204082,"x1",0,"SVM-pol",0,"start"
4.38775510204082,"x1",0,"SVM-rad",0,"start"
4.38775510204082,"x2",0.4465,"SVM-pol",0.0111161537862698,"start"
4.38775510204082,"x2",0.469,"SVM-rad",0.0111588305838918,"start"
4.48979591836735,"x1",0,"SVM-pol",0,"start"
4.48979591836735,"x1",0,"SVM-rad",0,"start"
4.48979591836735,"x2",0.412,"SVM-pol",0.0110058166439388,"start"
4.48979591836735,"x2",0.3885,"SVM-rad",0.0108988015396189,"start"
4.59183673469388,"x1",0,"SVM-pol",0,"start"
4.59183673469388,"x1",0,"SVM-rad",0,"start"
4.59183673469388,"x2",0.3945,"SVM-pol",0.010928626400422,"start"
4.59183673469388,"x2",0.3525,"SVM-rad",0.0106827840472416,"start"
4.69387755102041,"x1",0,"SVM-pol",0,"start"
4.69387755102041,"x1",0,"SVM-rad",0,"start"
4.69387755102041,"x2",0.365,"SVM-pol",0.0107651056659933,"start"
4.69387755102041,"x2",0.345,"SVM-rad",0.0106295578459313,"start"
4.79591836734694,"x1",0,"SVM-pol",0,"start"
4.79591836734694,"x1",0,"SVM-rad",0,"start"
4.79591836734694,"x2",0.26,"SVM-pol",0.00980815986819138,"start"
4.79591836734694,"x2",0.3215,"SVM-rad",0.0104436045022779,"start"
4.89795918367347,"x1",0,"SVM-pol",0,"start"
4.89795918367347,"x1",0,"SVM-rad",0,"start"
4.89795918367347,"x2",0,"SVM-pol",0,"start"
4.89795918367347,"x2",0.303,"SVM-rad",0.0102759671077714,"start"
5,"x1",0,"SVM-pol",0,"start"
5,"x1",0,"SVM-rad",0,"start"
5,"x2",0.2965,"SVM-pol",0.0102124372703092,"start"
5,"x2",0.289,"SVM-rad",0.0101360495263194,"start"
0,"x1",0.6585,"SVM-pol",0.0106037198661602,"adapt"
0,"x1",0,"SVM-rad",0,"adapt"
0,"x2",0.2735,"SVM-pol",0.00996739058129057,"adapt"
0,"x2",0,"SVM-rad",0,"adapt"
0.102040816326531,"x1",0.73,"SVM-pol",0.00992723526466458,"adapt"
0.102040816326531,"x1",0.167,"SVM-rad",0.00833999400479401,"adapt"
0.102040816326531,"x2",0.309,"SVM-pol",0.0103324488868806,"adapt"
0.102040816326531,"x2",0,"SVM-rad",0,"adapt"
0.204081632653061,"x1",0.767,"SVM-pol",0.00945280381685773,"adapt"
0.204081632653061,"x1",0.2885,"SVM-rad",0.010130837823201,"adapt"
0.204081632653061,"x2",0.336,"SVM-pol",0.0105618180253212,"adapt"
0.204081632653061,"x2",0,"SVM-rad",0,"adapt"
0.306122448979592,"x1",0.804,"SVM-pol",0.00887648579112252,"adapt"
0.306122448979592,"x1",0.3385,"SVM-rad",0.0105810620922476,"adapt"
0.306122448979592,"x2",0.3365,"SVM-pol",0.0105656933042749,"adapt"
0.306122448979592,"x2",0,"SVM-rad",0,"adapt"
0.408163265306122,"x1",0.8235,"SVM-pol",0.00852489736008593,"adapt"
0.408163265306122,"x1",0.3785,"SVM-rad",0.010845223603043,"adapt"
0.408163265306122,"x2",0.364,"SVM-pol",0.010758810343156,"adapt"
0.408163265306122,"x2",0,"SVM-rad",0,"adapt"
0.510204081632653,"x1",0.8535,"SVM-pol",0.0079068878201224,"adapt"
0.510204081632653,"x1",0.386,"SVM-rad",0.0108858623911935,"adapt"
0.510204081632653,"x2",0.363,"SVM-pol",0.0107524648337021,"adapt"
0.510204081632653,"x2",0,"SVM-rad",0,"adapt"
0.612244897959184,"x1",0.864,"SVM-pol",0.00766498532288223,"adapt"
0.612244897959184,"x1",0.3805,"SVM-rad",0.0108563287993686,"adapt"
0.612244897959184,"x2",0.381,"SVM-pol",0.0108590745462033,"adapt"
0.612244897959184,"x2",0,"SVM-rad",0,"adapt"
0.714285714285714,"x1",0.8725,"SVM-pol",0.00745800744166966,"adapt"
0.714285714285714,"x1",0.601,"SVM-rad",0.0109498630128418,"adapt"
0.714285714285714,"x2",0.391,"SVM-pol",0.0109114389518523,"adapt"
0.714285714285714,"x2",0,"SVM-rad",0,"adapt"
0.816326530612245,"x1",0.895,"SVM-pol",0.00685474288358068,"adapt"
0.816326530612245,"x1",0.83,"SVM-rad",0.00839940474081348,"adapt"
0.816326530612245,"x2",0.4135,"SVM-pol",0.0110117607583892,"adapt"
0.816326530612245,"x2",0.0945,"SVM-rad",0.00654101482951996,"adapt"
0.918367346938776,"x1",0.896,"SVM-pol",0.00682583328246449,"adapt"
0.918367346938776,"x1",0.8125,"SVM-rad",0.00872765002735559,"adapt"
0.918367346938776,"x2",0.4405,"SVM-pol",0.0111008952341692,"adapt"
0.918367346938776,"x2",0.285,"SVM-rad",0.0100939338218556,"adapt"
1.02040816326531,"x1",0.8955,"SVM-pol",0.00684031249286171,"adapt"
1.02040816326531,"x1",0.785,"SVM-rad",0.00918626692405571,"adapt"
1.02040816326531,"x2",0.4415,"SVM-pol",0.0111035523594929,"adapt"
1.02040816326531,"x2",0.518,"SVM-rad",0.0111730926783948,"adapt"
1.12244897959184,"x1",0.9035,"SVM-pol",0.00660256578914591,"adapt"
1.12244897959184,"x1",0.7475,"SVM-rad",0.0097145187734648,"adapt"
1.12244897959184,"x2",0.43,"SVM-pol",0.0110702303499069,"adapt"
1.12244897959184,"x2",0.5065,"SVM-rad",0.0111793951088599,"adapt"
1.22448979591837,"x1",0.9125,"SVM-pol",0.00631837597805006,"adapt"
1.22448979591837,"x1",0.6985,"SVM-rad",0.0102615240096196,"adapt"
1.22448979591837,"x2",0.4635,"SVM-pol",0.0111505100780189,"adapt"
1.22448979591837,"x2",0.5345,"SVM-rad",0.0111536933344969,"adapt"
1.3265306122449,"x1",0.902,"SVM-pol",0.00664815763952691,"adapt"
1.3265306122449,"x1",0.661,"SVM-rad",0.0105848712793307,"adapt"
1.3265306122449,"x2",0.4555,"SVM-pol",0.011135972117422,"adapt"
